,categories,full_description,id,languages,name,prohibited_content,short_description,topic
85,[],"Mastodon x appdot.net = fun? 
A place for former ADN users - on the whole. 
Please play nicely! And put your pronouns in your profile, if you want.",5b8e669436205a4e89370cfd,"['en', 'de']",appdot.net,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A place for former ADN users - on the whole. Invite only - please ask a current user.,
86,"['academia', 'journalism', 'tech']","An instance for professional scientists, science communicators, and enthusiasts to interact and share science-related topics and rational thinking to the wider Fediverse.",5a00e9696590aa0da6e894bc,['en'],scicomm.xyz,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'spam', 'advertising']",A scientific community for science communication,Science and science communication
87,[],"social.targaryen.house is an instance where all opinions are welcome. Most people are talking in english and in french. This instance is using a customized code : ashes & fire CSS theme, limit of characters per post are increased to 800 which is still reasonable limit for microblogging.

We believe in freedom speech and human rights like they were defined in the Declaration of the Rights of Man and of the Citizen (1789). The moderation is impartial and will intervene as less as possible in the content you can see.

This instance is also focused on security and performance.",58e4411f5af3b835dfd51afe,"['en', 'fr']",social.targaryen.house,"['pornography_nocw', 'spam', 'spoilers_nocw']","This is a generalist instance. Either you like Game of Thrones or not, either you support the house Targaryen or not, you will always be welcome.",
88,[],"Términos y Condiciones de Uso

Esta herramienta de comunicación está en línea solamente por el esfuerzo de su administrador y, eventualmente, algunas personas que colaboran para que el servicio sea el mejor posible.

Entendemos que para favorecer y promover una buena comunicación y convivencia virtual, es necesario establecer algunos criterios o pautas generales. Si alguno de ellos te parece excesivo o no estás de acuerdo, siempre puedes elegir alguna otra instancia de Mastodon cuyas normas se adapten mejor a tus principios.

En principio, participar en Mastodon.uy implica comprender y estar de acuerdo con las siguientes condiciones:

No está permitido publicar el siguiente contenido (la cuenta será suspendida o eliminada inmediatamente):

    Material que contenga Pornografía infantil / Pedofilia / Gore / Snuff.
    Contenido NSFW (del inglés Not Safe For Work, No Apropiado Para el Trabajo en castellano), que no sea etiquetado debidamente.
    Contenido Racista / Sexista / Homofóbico y cualquier otro que discrimine por cuestiones de género o de elecciones sexuales.
    Contenido Xenofóbico o Nazi.

Advertencia:

Se silenciarán (no aparecerán en la línea temporal pública) las cuentas que publiquen contenido NSFW (no apropiado) sin marcar dichas publicaciones con el botón de ""advertencia de contenido"". Figurar en la línea temporal pública y federada es un privilegio dado que es un espacio en común con todos los nodos.

En esta instancia de Mastodon tampoco se tolerarán actitudes o acciones de “acoso” a otros usuarios, entendiendo por “acoso”, la persistencia de un usuario por mantener alguna forma de vinculación con otro usuario que haya expresado específicamente no desear hacerlo.

No se tolerará tampoco la publicación de contenido o mensajes destinados a molestar o provocar negativamente a otros usuarios con la finalidad de generar altercados o malentendidos intencionalmente (trollear).

No se admite de ninguna forma la publicación de información personal de un usuario por parte de otro que no haya autorizado expresamente esa publicación.

Este servidor adhiere a los principios del Software Libre y es su espíritu promoverlos. Ser un nodo más de una red descentralizada y federada que respeta al usuario y no invade su privacidad, es parte de nuestro compromiso militante con esos principios.


Características del Servidor

El servidor es un OVZ-5 VPS ubicado en Alemania con las siguientes características:

    5120 MB RAM
    5120 MB BURSTRAM (vSwap)
    250 GB Hardware Raid 10
    10 Gbit/s Uplink (Shared)

Estadísticas en https://mastodon.uy/about/more",590060c30c4b3c46f854d1a0,"['en', 'pt', 'es']",mastodon.uy,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']","Nodo uruguayo de la red social libre y decentralizada Mastodon. La misma sigue el estandar abierto OStatus, lo que permite interactuar con otras redes",
89,[],"Ten Forward, a Star Trek themed Mastodon instance! The instance is not restricted to Star Trek role-play or characters. More general purpose use is welcome.",58f1353a762338151ee6d86e,['en'],tenforward.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","Ten Forward, a Star Trek themed Mastodon community",
90,[],"Cette instance a pour but d'acceuillir des personnes souhaitant participer à des discussions sur les cultures de l'imaginaire ou à des créations rentrant dans ces cultures, et les discussions et créations en résultant",5937d82ef49c1c689c725356,"['en', 'fr']",imaginair.es,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']","Instance Mastodon dédiée aux écrivain·e·s, photographes, peintres, dessinateur·trice·s, et de manière générale a tou·te·s les créateur·trices","Creation, Photography, Writing, Painting, Drawing, and Art in general"
91,['music'],"안녕하세요! 
This is the first Kpop instance in the fediverse! 
Any Kpop fan is welcome and we're open to the Korean culture too.",5ac2aad3213b4c4ea9814b02,"['en', 'ko', 'pt']",kpop.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spoilers_nocw']","안녕하세요! 
This is the first Kpop instance in the fediverse! 
Any Kpop fan is welcome and we're open to the Korean culture too.",kpop
92,['games'],Welcome to the first Mastodon Instance (that I know of) for board gamers! Join others in a free (libre!) and user supported social network for board gamers and the games they love.,5ab63c19128b491edcec9028,['en'],boardgames.social,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",Welcome to the first Mastodon Instance for board gamers!,board games
93,"['academia', 'activism', 'art', 'tech']","We believe in cyberanarchism. And just like any good old-fashioned anarchist collective, we look out for each other.
We aim to be kind of local-ish, but we're still open to anyone who thinks they fit in here. :)
",5ab9a26ace531468912e28f5,"['en', 'de']",social.bau-ha.us,"['spam', 'advertising']","Run by your friendly neighbourhood hackspace from Weimar, Germany.","Some kind of hacker-artist-activism-stuff, but also kind of generalistic"
94,[],Hosted with love in Germany. Server runs with 100% clean energy. Feel free to join!,5956a2fe753a1b5ac0a52b4e,"['en', 'de']",social.wiuwiu.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",Hosted with love in Germany. Server runs with 100% clean energy. Feel free to join!,
95,"['activism', 'art', 'furry', 'lgbt']","Occult Camp is an mastodon instance focused on spitituality, witchcraft and various shades of woo. The goal of Occult Camp is to allow people who are serious about getting into witchcraft or shamanism or various other things to have a place to get together and talk with people who have been proacticing for a bit, and to just have a place to go to share stories and talk with likeminded people.

If you dislike ""censorship"", feminists, SJWs, and other socially minded people, this is definitely not the instance for you.",59e77456cd5c687334b1b361,['en'],occult.camp,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","A community where it is safe to talk about witchcraft, woo, and various occult things. We talk about pretty much everything though. ","witchcraft, occult, witches, "
96,[],"Mastodon instance for the Dutch community, but open to anyone. Primary languages Dutch and English.
Mastodon instance for the Nederlandse gemeenschap, maar open voor iedereen. Voertaal voornamelijk Nederlands en Engels.",590143690c4b3c46f854d214,"['nl', 'en']",mastodon.nl,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']",Dutch Mastodon community,
97,"['anime', 'games']","本站是偶像大师的非官方 Mastodon 中文实例，是致力于偶像大师爱好者的社交平台，中文为主，也欢迎使用任何语言的偶像大师爱好者加入。
这里不限制嘟文的话题，理想的话题是偶像大师和相关声优，关于每一个系列，每一位声优都可以畅所欲言。为了平台的流畅访问，请尽可能避免谈论政治。",5aa7f72d1a1b3f1036f3d267,"['zh', 'en', 'ja']",imastodon.org,"['pornography_nocw', 'advertising']",im@stodon.org is an unofficial mastodon instance for the non-Japanese community of fans of THE IDOLM@STER.,THE IDOLM@STER
98,"['art', 'games']","Hi! I hope Game Making Social is a cosey, friendly place to talk and share stuff about amateur videogame making and everything surrounding that. It's kinda an offshoot of Game Making Tools, which is a wiki(+) for a similar audience.

Game makers, game writers, game players most welcome! Unless you're a jerk!!

Please read the rules before signing-up :)",5a4f558fe92cf74aeed34b50,['en'],gamemaking.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","Mastodon for amateur game makers, and people interested in playing and thinking about amateur games.",Game making
99,[],"toot.BERLIN is a happy community for old berliners, new berliners, future berliners, past berliners, and everybody else.",58e8a5748313ad45cf8042b3,"['en', 'de']",toot.berlin,['spam'],Mastodon for Berliners,
100,[],Small and relaxed instance. 100% chill.,58e4220d9613c80a99cbf96e,['en'],mastodon.rocks,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']",Because Mastodon rocks !,
101,"['academia', 'activism', 'art', 'books', 'journalism', 'tech']","Nodo generalista y multilingüe para amantes de la libertad. Damos la bienvenida a activistas de todos los ámbitos y demás mentes inquietas. Invitamos especialmente a personas expuestas a la marginación, la censura u otras formas de violencia. Aquí nos respetamos y nos ayudamos mutuamente. También ofrecemos soporte técnico, y con mucho gusto.",5ad47662b13a5b202c4f52e0,"['ca', 'en', 'es']",red.confederac.io,"['pornography_nocw', 'pornography_all', 'spam']",Nodo generalista y multilingüe para amantes de la libertad. Damos la bienvenida a activistas de todos los ámbitos y demás mentes inquietas.,
102,[],"Equestria Social Network is a Mastodon instance for all pony fans, created to federate people of the MLP FiM fandom wanting to join the ""fediverse"", and those already present. But we are opened to everyone !",591021ce645f7a32ad435da8,"['en', 'fr']",equestria.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']","An instance for all pony fans, and opened to everyone !","Generalistic, but especially ""MLP : FiM"" and the Brony sub-culture."
103,['humor'],"I try to be hands-off but here’s some things I will ban:

    Porn
    Lolicon
    Anything that is majorly illegal wherever you live
    Graphic, violent gore
    Abuse (sexual or not)

Things that are ok to talk about without a CW:

    Food
    Lewd jokes
    Drugs
    Politics
    Swearing

Other than that, be FREE, my darlings!!!! *opens a cage and 300 doves fly out* ",5a84b9c1d61ed36b79d361a2,['en'],freedom.horse,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']","This is a place to go when you want FREEDOM.

Get things off your chest. Share your secrets with strangers. Scream into the abyss. Tell filthy jokes. ",humor
104,[],"SPAAAAACE! This instance is available for everyone, especially if you like space,  Portal (Space Core!), or that you want a cool domain. 
This instance is using some space-themed vocabulary and uses the ""Flat, Dark and Colourful!"" stylesheet made by @dia@aleph.land.",58e502c8a9687d34c5c9cd3b,"['en', 'fr']",im-in.space,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']","An instance for everyone. We're a bit space-themed and we use the custom ""Flat, Dark and Colourful!"" stylesheet.",
105,[],"＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

中国語注意 / If you don't like Chinese toots, please don't join in.

＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊

一个萌萌哒 泛ACGN Mastodon 实例，讨论主题不限，欢迎安家~

A cute and loving, anime and manga instance, topics are not limited, Welcome in~

~

Simplified Chinese is mainly used here, but don't worry about it.

There are no language restrictions here, and you can send toots in any language.

~

用户协议（TOS）

禁止发布 违反当地法律 的内容

本站不讨论政治，重度讨论的封号

NSFW 内容，注意勾选 “内容警告” 功能

谢绝 大量垃圾信息，广告推送 类用户注册使用

NO AD, NO SPAM, Thanks.

~

节点（Node）

服务器采用 Linode 2048 实例（1核 CPU，2GB 内存，30GB 硬盘）

~

可用率（SLA）

本实例为非商业项目，不提供 SLA 保证，但会尽力维持在线率高于 99.9%",5a110cf029997d117543015e,"['zh', 'en', 'ja']",wxw.moe,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",一个萌萌哒 泛ACGN Mastodon 实例，讨论主题不限，欢迎安家~,(｀・ω・´) 嘟嘟噜 / 二次元 / 萌え / Generalistic
106,[],"Masto.pt is a generalist instance that strives to be a safe place for the Portuguese and the Portuguese speaking communities. For us to gather around and merrily frolic around the Fediverse! Please read the rules before joining: https://masto.pt/about/more#regras and remember, be nice to each other! :)",58e82d3c8313ad45cf804209,"['en', 'pt']",masto.pt,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Portuguese instance,Portuguese speakers
107,"['activism', 'tech']","We expect that everybody respects values shared by our Basic Text when s·he speaks on our instance : https://pirateparty.be/basic-text/

Nous nous attendons à ce que chacun·e respecte les valeurs véhiculées par notre Texte de Base lorsqu'iel s'exprime sur notre instance : https://fr.pirateparty.be/texte-de-base/

We verwachten dat hij/zij die op onze instantie spreekt de waarden gedeeld door onze Basistekst, respecteert : https://nl.pirateparty.be/basistekst/",58ea8d51dcd4660abedbf030,"['nl', 'en', 'fr']",mastodon.pirateparty.be,"['nudity_nocw', 'pornography_nocw']",Mastodon instance hosted by the Pirate Party Belgium,
108,[],"Miaou est une instance Mastodonte, géré et hébergé en France. Elle fait partie de l'intiative CHATONS
Si vous rencontrer un problème lors de votre inscription, contactez moi sur admin@drycat.fr
If you encounter problem to register or other, contact me at admin@drycat.fr

Les comptes publicitaires, corporate sont interdit ! Ainsi que les comptes faisant l'apologie du nazisme ou du terrorisme.
Advertising and corporate accounts are forbidden! As well as accounts defending Nazism or terrorism.

Use NSFW tag or content Warning for porn image or hard image (type of image censor by facebook in fact)
Utilisez le tag NSFW ou CW pour les images pornographique ou non recommandé pour des personnes censible (en sommes les images que censure facebook) ",58eb4085dcd4660abedbf122,"['en', 'fr']",miaou.drycat.fr,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'advertising']","Miaou est une instance Mastodon avec une forte orientation geek aimant l'opensource, le libre, le japon et les chats ♥","Informatic, geek, video game, japan, kitten"
109,['music'],Liner Notes Club is a Mastodon instance dedicated to providing fans of recorded music with a place to socialize and share their musical musings.,5ac41dc5131e5d0259445952,['en'],linernotes.club,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']",A friendly place in the fediverse for discussing music recordings. ,Music 
110,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']",A social network for Vietnamese who wanna be free.,5b3be011eb7d1268832db0fb,"['en', 'vi']",nghieng.net,"['spam', 'advertising']",Social network for Vietnamese ,
111,"['art', 'furry', 'lgbt', 'tech']","This cheese wedge based instance is for other cheese wedges/wheels rolling around looking for a place to call home, along with other techie, non-techie or even non-furries if you like the OwO.",5a11968729997d1175430162,['en'],mastodon.sergal.org,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']","A general friendly instance that focused of tech topics, games, and everything fluffy! ",A tech~furry cheese wedge themed instance
112,[],"This site is dedicated to birbs. A birb is a cute bird. In some instances another animal (dog, cat, rodent, even a snek may qualify) ",5acaf9da3366f24a20cfbbac,['en'],birb.site,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A place for animal lovers,Animals
113,['tech'],"This is the Mastodon for web development people that are sick of Twitter. Web development discussion is welcome, but you can talk just about anything except sexist/racist/hate stuff.",5b7311cbe5583c6f3354cf3d,['en'],webdev.network,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Let's talk about web development.,"web development, frontend development"
114,[],"A fairly relaxed general instance. 

Some moderation to remove unkind or bad content. ",58e2789f3f67c310eab28cb7,['en'],hex.bz,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A fairly relaxed general instance. ,
115,[],"This instance is for the free software lovers, the people who like to use GNU/Linux, programming and the rest. French/English. No moderation. Everyone is welcome.",58eea4f8463e1078268a96c6,"['en', 'fr', 'es']",toot.love,[],"This instance is for the free software lovers, the people who like to use GNU/Linux, programming and the rest. French/English. No moderation.",
116,[],"Toot.si is a slovenian multilingual Mastodon instance with the main idea to offer a safe space free from terror by algorithms of corporate social networks, by dictatorship of profits before people, and by supporters of cyber-harrasment and contemporary neolib-fascism. Please take the time to read our code of conduct.",5994613a3e099c5dcbe0e278,"['en', 'sl']",toot.si,"['pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",A slovenian multilingual Mastodon instance ,
117,['tech'],"An instance for OpenStreetMap, the free wiki map of the world. It's in English to compliment the francophone https://fr.osm.social instance. Come talk about OSM or other types of FOSS/Libre geo stuff.",5b35be6285b9b91570c52724,['en'],en.osm.town,"['nudity_nocw', 'pornography_nocw', 'spam']",OpenStreetMap instance (English language),OpenStreetMap
118,"['adult', 'lgbt']","We're anti-troll, anti-abuse and pro-quirk. Unlike Twitter, Instagram and Tumblr we won't randomly suspend you just for being ABDL 🙌",5b58e8ea37c25320078cd2b7,['en'],abdl.link,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",A Mastodon instance for ABDLs run by ABDLs 🍼,ABDL
119,"['adult', 'furry', 'lgbt']","We are various flavors of trans, queer, non-binary, polyamorous, disabled, furry, etc.

This instance is for being gentle and sweet and kind and patient to one another. It's also a place where we are not afraid to get fierce and angry if our fam is threatened. It is strictly no harassment and no screencap dunking.",5ba5728402530563670824ae,['en'],beach.city,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",Private instance for close friends and members of the admins' social network.,
120,[],"这里是华语圈BanG Dreamer、Bushiroad旗下企划（Lovelive，milky等）乃至二次元圈的Mastodon实例（服务器）。名为炸帮裂梦乐团
无论你是不是邦邦人，这里都欢迎 
欢迎大陆、港澳台、世界各地朋友加入
如果有使用上的问题，请参照home.bangdream.space中的Mastodon使用讲解 

ここはバンドリ、およびブシロード関連企画、さらに二次元愛好家向けのMastodonインスタンスです。名前は「爆裂ドリーム楽団（仮訳）」です。 
バンドリーマーでない方も大歓迎です。 
日本人も歓迎しますが、中国語に抵抗がない方のみでお願いします。 

This is an instance for BanG Dream & Bushiroad contents & Nijigen --- Boom Dream Party. 
Everyone can join in even though you are not a Bangdreamer. 
You know, this is a Chinese instance. If you don't like Chinese toots, please don't join in. ",59e5b76acd5c687334b1b359,"['zh', 'en', 'ja']",bangdream.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",华语圈二次元频道实例。,
121,"['furry', 'lgbt']","A queer friendly, trans friendly, furry friendly instance with a cat mascot. A small instance that's meant to stay small. Moderated.",58ef996993ec4e6e86a76b7a,['en'],meemu.org,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","Queer and furry-friendly, cat themed instance.",
122,['tech'],"This Mastodon instance is for people who care about, support, or build Free, Libre, and Open Source Software (FLOSS). Of course, discussions aren't limited to just FLOSS -- let's share our unique interests!  Users on FLOSS.social agree to abide by the Contributor Covenant Code of Conduct, available online at: https://www.contributor-covenant.org/version/1/4/code-of-conduct",5ac1c0cf3a71be5df27b5ee3,['en'],floss.social,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']","This Mastodon instance is for people who care about, support, or build Free, Libre, and Open Source Software (FLOSS).",free libre and open source software
123,[],"uwu.social is a public instance hosted on Hetzner's infrastructure in Germany administrated by @dean@uwu.social and @auri@uwu.social, who can also be contacted at devs@whats-th.is. All topics and users (including bots) are welcome on this instance. We also don't block other instances.

The main language of this instance is English, however other languages are welcome. If you don't read/write English, though, you might have a hard time making instance-local friends because of the language barrier so I would recommend signing up on another instance that has lots of users that you can communicate with.

The administrators (Dean and Auri, handles are above) are easy to get a hold of and are friendly. If you come across a problem or would like to request us to change something, feel free to contact us at any time and we'll get back to you when we can. Emoji requests are welcome!

Note: NSFW/pornographic content (text and images) posted on uwu.social that is not tagged (with content warning and/or marked as sensitive) should be reported using the built-in report feature in Mastodon. Please mark your content appropriately.",5b01a1a8c8ec996cd1ee7e60,['en'],uwu.social,"['nudity_nocw', 'pornography_nocw', 'spam']","A public, ""generalistic"" instance run in Germany by the people who run whats-th.is (the file host). All topics and people (even robots) are welcome!",
124,['adult'],A moderated instance targeted for lewd and naughty profiles ;),5b0bd33f0c3a8465be00087a,"['en', 'fr', 'pt']",lewd.town,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",A moderated instance targeted for lewd and naughty profiles ;),Lewd and Naughty things
125,"['lgbt', 'tech']","
Rules:

    No Harassment
    No porn without Content Warnings. Additionally, no porn that may be considered illegal in the United States or Europe.
    No racism, sexism, homophobia, or transphobia.
    No toots that incite violence.
    Please do not host bots on this instance. Bots are better off in another instance, such as botsin.space.
    Avatars and usernames must be kept appropriate.
    Content Warnings are expected on anything graphic, including text. Things that would normally be required to be CW'd in a toot may not be posted in bios, avatars, cover images, or display names.
    No piracy or links to piracy.
    Don't be a dick; respect your fellow users.
    Have fun!

",5af4f796c8ec996cd1ee7e0c,['en'],lgbtq.cool,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",A general-purpose instance for all kinds of cool LGBTQ people and allies!,
126,[],"Une instance ouverte à tou.te.s, qui se veut un minimum inclusive :
- Serveur réservé aux personnes parlant français ou anglais, par souci de facilité de modération.
- Sexisme, racisme, homophobie et toutes formes d'exclusion des minorités sont à proscrire pour le bien être de tou.te.s.
- Respectez la vie privée des personnes.
- Utilisez les tags et autres CW que vous jugez adaptés, en particulier pour le contenu NotSafeForWork (NSFW).
- Essayez d'être prévénant.e.s et inclusif.ve.s.
- Si l'un de vos propos est perçu comme excluant et que quelqu'un vous en informe, écoutez. Nous sortirons tou.te.s grandi.e.s d'un tel dialogue.

Sachez que nous préférerons toujours notre liberté d'être ensemble à votre liberté d'exclure.",58e4a3dbd375714b16c9c532,"['en', 'fr']",mastodon.opportunis.me,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","Une instance ouverte à tou.te.s, qui se veut un minimum inclusive.",
127,"['academia', 'activism', 'tech']","We have a few rules: Be cool. Be nice. Have an open mind. Don't break the place. We can have nice things. I don't want to ban people, ever, but if I feel like you have earned it, I won't hesitate.",58ed9b850b92cf2bc39532d9,['en'],hackers.town,"['pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A bunch of technomancers in the fediverse. Keep it fairly clean please. This arcology is for all who wash up upon it's digital shore.,Technomancy
128,"['sports', 'tech']","Mastodon Racing is a federate instance of the fediverse (OStatus & ActivityPub) mainly dedicated to Motorsports and Tech. Whether you are passionate or not about Motorsports, you will always be welcome on this forum, any type of subject is accepted (news, politics, fiction, science, culture, etc.). Moderation is done in English or French.

Mastodon Racing est une instance fédérée du fediverse (OStatus & ActivityPub) principalement dédiée aux sports Mécaniques et nouvelles technologies. Que vous soyez passionné·e ou non de sports mécaniques, vous êtes bienvenue sur cette instance, tout type de sujet y est accepté (actualité, politique, fiction, science, culture, etc.). La modération se fait en anglais ou en français.",58f7bb03165fc85481cbd4e2,"['en', 'fr']",mastd.racing,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","Motorsport, tech & others. Sports mécaniques, tech et autres. English / Français",Motorsports - Generalistic 
129,"['academia', 'activism', 'art', 'books', 'games', 'journalism', 'music', 'tech']","Hello ! My name is Tijl Van den Brugghen, named KindlyFire online. I run this Mastodon instance and some other public services for anybody to enjoy. I detailed most information on this page, but feel free to ask me anything !

# Guarantees

* We do not track you. (but others on the Fediverse might, no instance can guarantee this)
* Light moderation. The instance rules are defined below.
* We federate with every instance out there. But that does not say we allow every kind of content.

# Rules

Obviously, every instance has to have rules. Without this, although this instance is pretty small, there would be problems. Here they are:

* Respect everyone
* Do not spam (this applies mainly to bots)
* No NSFW without an appropriete Content-Warning.
* Any kind of illigal content is prohibited.
* Have fun 🎉

More information is available on our about page: https://maly.io/about/more",58e22b3e8fc23f4d8fc861ee,"['nl', 'en', 'eo', 'fr']",maly.io,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","Maly is a stable, non-tracking Mastodon instance running along other services like our PeerTube instance and a private cloud.",
130,['tech'],"Welcome !
This is an open Mastodon instance, basically.
It's run by the person you see on the right (that's me!) and for now, that's all.
There might be more admins and moderators later if the needs come but alas not yet.

I hope this instance works okay for you, and that you can find a nice and welcoming community here! Feel free to hit me up if you have any questions or requests, be it about this instance, how to make your own instance, or other things not related to Mastodon.

I am actually the only sysadmin of this instance and I can't work full-time on oldbytes.space so, I will do whatever I can in a reasonable time to make it works the best it can.

Rules
This instance has some rules, of course.
First, there are the usual : no sexism, no racism, no hate speech, no LGBTQphobia, no nazis, no spam, no public unflagged porn, etc...
Then, I also believe it's important to remind you that this server was made and is run by a queer activist.
This server thrives to be inclusive, and I will ban without much regret.
People are encouraged to use the report function as they see fit, and can be confident that their complaints will be heard and dealt with in some way. I want everyone to feel safe here, and if that doesn't sound like something you like, you should probably find another server.

There's also a pretty important activism aspect of this instance.
If you're a marketer, a #digital #influencer, this is not the place for you. Not only do I feel you should not feel welcome, I intend to make you feel definitely NOT welcome.
This instance, and this entire social network in my opinion, is dedicated to reclaiming social media, decentralizing, and generally creating better and more engaging communities.
The three categories of people I mentioned earlier are not, in my opinion, working towards this goal, pretty much the opposite, and they are not welcome on this server.
Please report them if you see them.
We also block Nazis, techbros and RMS.",58e91c11dcd4660abedbee9b,"['en', 'fr']",oldbytes.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",Do you like old hardware ? Do you use them ? Perfect you're welcome here !,Retrocomputing
131,[],"This site is intended to be a pleasant space for folks to enjoy Mastodon. This instance is run out of Brisbane, Australia to allow faster access for locals.

The rules of this server are:

* Be respectful of your peers
* Abide by local and international laws
* Have fun

If you have concerns about a person's conduct, please report the toot in question or get in touch with @ashkyd.

Blocked instances: As with other servers, we have blocked a number of instances that don't meet our standards for a number of reasons. At this time, we are keeping in step with the toot.cafe blocklist. If this is something that concerns you, please feel free to sign up for another instance. You can find more info at https://assets.bne.social/",58eafbfadcd4660abedbf0d5,['en'],bne.social,"['nudity_all', 'pornography_all', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'hateSpeeches', 'harrassment']","The Brisbane Social Mastodon server. Hosted in sunny Brisbane, for users from and interested in southeast Queensland.",
132,"['academia', 'anime', 'art', 'lgbt', 'tech']","A small instance with the aim to connect people to the fediverse, especially those who are switching from e.g. twitter to Mastodon. We provide a generalistic instance for everybody to join.

For people who are used to Twitter's look and feel, we provide a Halcyon-Instance to make the transition even more fun and seamlessly. ",5acafa8d3366f24a20cfbbe8,"['en', 'de']",uelfte.club,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']",A small instance in Germany with no specific topic.,
133,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'journalism', 'lgbt', 'music', 'poc', 'sports', 'tech']",web culture · innovation · free speech · health · games · sports · music · auto & moto · it & tech · home & recreation · love & family,5b82f7bee80ab079b280c15c,['en'],xy.ag,[],'cause life's too short for long instance names – XY.AG is a free mastodon instance for a global audience. web culture · innovation · free speech,
